Abtei Baindt, Schwäbischer Reichskreis,
Kanton Neckar-Schwarzwald-Ortenau (Sitz in Tübingen), Ritterkreis Schwaben,
Kanton Oberrheinstrom (Sitz in Koblenz), Ritterkreis Rhein,
Kanton Oberrheinstrom (Sitz in Mainz), Ritterkreis Rhein,
Kanton Odenwald (Sitz in Heilbronn / seit 1764 in Kochendorf), Ritterkreis Franken,
Kanton Rhön-Werra (Sitz in Schweinfurt, Ritterkreis Franken,
Kanton Steigerwald (Sitz in Erlangen), Ritterkreis Franken,
Kirchspiel Winden, Nicht eingekreiste Territorien,
Kommende Mainau in der Ballei Elsass-Burgund des Deutschen Ordens, Schwäbischer Reichskreis,
Kurköln, Kurrheinischer Kreis,
Kurmainz, Kurrheinischer Kreis,
Kurpfalz, Kurrheinischer Kreis,
Kursächsische Lande, Obersächsischer Reichskreis,
Kurtrier, Kurrheinischer Kreis,
Königreich Böhmen, Nicht eingekreiste Territorien,
Land Hadeln, Nicht eingekreiste Territorien,
Lande der Erbtruchsessen zu Waldburg-Scheer-Scheer und Waldburg-Zeil-Trauchburg, Schwäbischer Reichskreis,
Lande der Erbtruchsessen zu Waldburg-Wolfegg-Wolfegg und Waldburg-Wolfegg-Waldsee, Schwäbischer Reichskreis,
Lande der Erbtruchsessen zu Waldburg-Zeil-Zeil und Waldburg-Zeil-Wurzach, Schwäbischer Reichskreis,
Lande der Fürsten von Hatzfeld, Obersächsischer Reichskreis,
Lande der Fürsten zu Nassau-Diez, Niederrheinisch-westfälischer Reichskreis,
Lande der Grafen Fugger, Schwäbischer Reichskreis,
Lande der Grafen Leiningen-Hartenburg, Oberrheinischer Reichskreis,
Lande der Wildgrafen und Rheingrafen (fürstliche Linie Salm-Kyrburg), Oberrheinischer Reichskreis,
Lande der Wildgrafen und Rheingrafen (rheingräfliche Linie Salm-Grumbach), Oberrheinischer Reichskreis,
Lande der Wildgrafen und Rheingrafen (rheingräfliche Linie zu Salm-Stein), Oberrheinischer Reichskreis,
Lande des Fürsten zu Nassau-Saarbrücken-Saarbrücken, Oberrheinischer Reichskreis,
Lande des Fürsten zu Nassau-Saarbrücken-Usingen, Oberrheinischer Reichskreis,
Lande des Fürsten zu Nassau-Weilburg, Oberrheinischer Reichskreis,
Lande des fürstlichen Hauses Oettingen-Wallerstein, Schwäbischer Reichskreis,
Lande des fürstlichen Hauses Solms-Braunfels, Oberrheinischer Reichskreis,
Lande des gräflichen Hauses Solms-Laubach, Oberrheinischer Reichskreis,
Lande des gräflichen Hauses Solms-Lich-Hohensolms, Oberrheinischer Reichskreis,
Lande des gräflichen Hauses Solms-Rödelheim, Oberrheinischer Reichskreis,
Landgrafschaft Baar, Schwäbischer Reichskreis,
Landgrafschaft Hessen-Darmstadt, Oberrheinischer Reichskreis,
Landgrafschaft Hessen-Kassel, Oberrheinischer Reichskreis,
Landgrafschaft im Breisgau, Österreichischer Reichskreis,
Landgrafschaft Stühlingen, Schwäbischer Reichskreis,
Mark Brandenburg, Obersächsischer Reichskreis,
Markgrafentum Mähren, Nicht eingekreiste Territorien,
Markgrafentum Niederlausitz, Nicht eingekreiste Territorien,
Markgrafentum Oberlausitz, Nicht eingekreiste Territorien,
Markgrafschaft Hachberg, Schwäbischer Reichskreis,
Markgrafschaft Nomeny, Oberrheinischer Reichskreis,
Meistertum Mergentheim des Deutschen Ordens, Fränkischer Reichskreis,
Obere Markgrafschaft Baden / Baden-Baden, Schwäbischer Reichskreis,
Oberquartier des Herzogtums Geldern, Burgundischer Reichskreis,
Personen ohne eigenes Territorium / juristisch ebenfalls reichsunmittelbar, Briefadel,
Propstei Cappenberg, Nicht eingekreiste Territorien,
Propstei Wettenhausen, Schwäbischer Reichskreis,
Reichsdorf Gochsheim in Unterfranken, Nicht eingekreiste Territorien,
Reichsdorf Holzhausen im Taunus, Nicht eingekreiste Territorien,
Reichsdorf Leutkircher Heide im Allgäu, Nicht eingekreiste Territorien,
Reichsdorf Sennfeld in Unterfranken, Nicht eingekreiste Territorien,
Reichsdorf Soden im Taunus, Nicht eingekreiste Territorien,
Reichsdorf Sulzbach im Taunus, Nicht eingekreiste Territorien,
Reichsherrschaft Landskron, Nicht eingekreiste Territorien,
